,ProductName,ProductPrice,Product star rating,Features
0,"APPLE iPhone 13 (Green, 128 GB)","₹74,900",,128 GB ROM
1,"APPLE iPhone 13 (Midnight, 128 GB)","₹74,799",,128 GB ROM
2,"APPLE iPhone 13 (Blue, 128 GB)","₹74,900",,128 GB ROM
3,"APPLE iPhone 13 (Pink, 128 GB)","₹74,900",,128 GB ROM
4,"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900",,128 GB ROM
5,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900",,128 GB ROM
6,"APPLE iPhone 13 (Starlight, 256 GB)","₹84,900",,256 GB ROM
7,"APPLE iPhone 13 (Midnight, 256 GB)","₹84,900",,256 GB ROM
8,"APPLE iPhone 13 (Blue, 256 GB)","₹83,990",,256 GB ROM
9,"APPLE iPhone 13 (Green, 256 GB)","₹84,900",,256 GB ROM
10,"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","₹83,900",,256 GB ROM
11,"APPLE iPhone 13 ((PRODUCT)RED, 512 GB)","₹1,04,900",,512 GB ROM
12,"APPLE iPhone 13 (Green, 512 GB)","₹1,04,900",,512 GB ROM
13,"APPLE iPhone 13 (Pink, 256 GB)","₹83,900",,256 GB ROM
14,"APPLE iPhone 13 (Starlight, 512 GB)","₹1,03,990",,512 GB ROM
15,"APPLE iPhone 13 (Pink, 512 GB)","₹1,04,900",,512 GB ROM
16,"APPLE iPhone 13 (Blue, 512 GB)","₹1,03,990",,512 GB ROM
17,"APPLE iPhone 13 (Midnight, 512 GB)","₹1,03,990",,512 GB ROM
18,"APPLE iPhone 13 Mini (Pink, 128 GB)","₹64,900",,128 GB ROM
19,"APPLE iPhone 13 mini (Green, 128 GB)","₹64,900",,128 GB ROM
20,"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹64,900",,128 GB ROM
21,"APPLE iPhone 13 Mini (Blue, 128 GB)","₹64,900",,128 GB ROM
22,"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹64,900",,128 GB ROM
23,"APPLE iPhone 13 Mini (Blue, 256 GB)","₹74,900",,256 GB ROM
